[2024-12-22T00:00:01.488+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-22T00:00:01.510+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [queued]>
[2024-12-22T00:00:01.521+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [queued]>
[2024-12-22T00:00:01.522+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-22T00:00:01.544+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-21 00:00:00+00:00
[2024-12-22T00:00:01.552+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=27755) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-22T00:00:01.554+0000] {standard_task_runner.py:72} INFO - Started process 27757 to run task
[2024-12-22T00:00:01.556+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'fetch_and_insert_news', 'fetch_and_insert_news_all_countries', 'scheduled__2024-12-21T00:00:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/snowflake_connector_dag.py', '--cfg-path', '/tmp/tmpy8r22yvf']
[2024-12-22T00:00:01.559+0000] {standard_task_runner.py:105} INFO - Job 21: Subtask fetch_and_insert_news_all_countries
[2024-12-22T00:00:01.621+0000] {task_command.py:467} INFO - Running <TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [running]> on host 4fe538676cbc
[2024-12-22T00:10:45.345+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-09 to 2020-02-10 for JA...
[2024-12-22T00:10:48.086+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:10:53.086+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-10 to 2020-02-11 for JA...
[2024-12-22T00:10:55.785+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:11:00.787+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-11 to 2020-02-12 for JA...
[2024-12-22T00:11:03.426+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:11:08.427+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-12 to 2020-02-13 for JA...
[2024-12-22T00:11:11.404+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:11:16.406+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-13 to 2020-02-14 for JA...
[2024-12-22T00:11:19.178+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:11:24.178+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-14 to 2020-02-15 for JA...
[2024-12-22T00:11:27.000+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:11:32.002+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-15 to 2020-02-16 for JA...
[2024-12-22T00:11:34.941+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:11:39.943+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-16 to 2020-02-17 for JA...
[2024-12-22T00:11:42.525+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:11:47.526+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-17 to 2020-02-18 for JA...
[2024-12-22T00:11:50.611+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:11:55.610+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-18 to 2020-02-19 for JA...
[2024-12-22T00:11:58.353+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:12:03.355+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-19 to 2020-02-20 for JA...
[2024-12-22T00:12:06.053+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:12:11.055+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-20 to 2020-02-21 for JA...
[2024-12-22T00:12:13.861+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:12:18.862+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-21 to 2020-02-22 for JA...
[2024-12-22T00:12:21.482+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:12:26.481+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-22 to 2020-02-23 for JA...
[2024-12-22T00:12:29.915+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:12:34.918+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-23 to 2020-02-24 for JA...
[2024-12-22T00:12:37.682+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:12:42.684+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-24 to 2020-02-25 for JA...
[2024-12-22T00:12:45.743+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:12:50.744+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-25 to 2020-02-26 for JA...
[2024-12-22T00:12:53.593+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:12:58.595+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-26 to 2020-02-27 for JA...
[2024-12-22T00:13:01.385+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:13:06.387+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-27 to 2020-02-28 for JA...
[2024-12-22T00:13:11.992+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:13:16.993+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-28 to 2020-02-29 for JA...
[2024-12-22T00:13:20.674+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:13:25.674+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-29 to 2020-03-01 for JA...
[2024-12-22T00:13:29.347+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:13:34.349+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-01 to 2020-03-02 for JA...
[2024-12-22T00:13:38.335+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:13:43.337+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-02 to 2020-03-03 for JA...
[2024-12-22T00:13:45.990+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:13:50.991+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-03 to 2020-03-04 for JA...
[2024-12-22T00:13:53.901+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:13:58.903+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-04 to 2020-03-05 for JA...
[2024-12-22T00:14:01.655+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:14:06.657+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-05 to 2020-03-06 for JA...
[2024-12-22T00:14:09.504+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:14:14.505+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-06 to 2020-03-07 for JA...
[2024-12-22T00:14:17.916+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:14:22.916+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-07 to 2020-03-08 for JA...
[2024-12-22T00:14:25.909+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:14:30.910+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-08 to 2020-03-09 for JA...
[2024-12-22T00:14:34.202+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:14:39.203+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-09 to 2020-03-10 for JA...
[2024-12-22T00:14:42.149+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:14:47.152+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-10 to 2020-03-11 for JA...
[2024-12-22T00:14:49.928+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:14:54.927+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-11 to 2020-03-12 for JA...
[2024-12-22T00:14:57.650+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:15:02.652+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-12 to 2020-03-13 for JA...
[2024-12-22T00:15:05.398+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:15:10.399+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-13 to 2020-03-14 for JA...
[2024-12-22T00:15:13.171+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:15:18.173+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-14 to 2020-03-15 for JA...
[2024-12-22T00:15:20.981+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:15:25.981+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-15 to 2020-03-16 for JA...
[2024-12-22T00:15:28.698+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:15:33.699+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-16 to 2020-03-17 for JA...
[2024-12-22T00:15:36.614+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:15:41.615+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-17 to 2020-03-18 for JA...
[2024-12-22T00:15:44.306+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:15:49.308+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-18 to 2020-03-19 for JA...
[2024-12-22T00:15:51.913+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:15:56.912+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-19 to 2020-03-20 for JA...
[2024-12-22T00:15:59.728+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:16:04.730+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-20 to 2020-03-21 for JA...
[2024-12-22T00:16:07.603+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:16:12.604+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-21 to 2020-03-22 for JA...
[2024-12-22T00:16:15.237+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:16:20.238+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-22 to 2020-03-23 for JA...
[2024-12-22T00:16:22.807+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:16:27.809+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-23 to 2020-03-24 for JA...
[2024-12-22T00:16:30.768+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:16:35.770+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-24 to 2020-03-25 for JA...
[2024-12-22T00:16:38.590+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:16:43.591+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-25 to 2020-03-26 for JA...
[2024-12-22T00:16:46.224+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:16:51.226+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-26 to 2020-03-27 for JA...
[2024-12-22T00:16:54.557+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:16:59.559+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-27 to 2020-03-28 for JA...
[2024-12-22T00:17:02.301+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:17:07.304+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-28 to 2020-03-29 for JA...
[2024-12-22T00:17:10.046+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:17:15.048+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-29 to 2020-03-30 for JA...
[2024-12-22T00:17:17.691+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:22:22.673+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-30 to 2020-03-31 for JA...
[2024-12-22T00:22:26.021+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:22:31.023+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-03-31 to 2020-04-01 for JA...
[2024-12-22T00:22:33.996+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:22:38.998+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-01 to 2020-04-02 for JA...
[2024-12-22T00:22:41.702+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:22:46.703+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-02 to 2020-04-03 for JA...
[2024-12-22T00:22:49.999+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:22:54.998+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-04-03 to 2020-04-04 for JA...
[2024-12-22T00:22:57.709+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
